"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-5766","2024-08-13 23:29:31","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","b1","0.4661016949152542",,,,"0.49137931034482757",,,"5.0E-4","1.0","default",,,"6.29480445E15","2175.650115966797","no","no"
"ON-5765","2024-08-13 23:29:26","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","b1","0.41003911342894395",,,"0.42572944297082227",,,,"5.0E-4","1.0","default",,,"5.50890306E15","2062.3114330768585","no","no"
"ON-5758","2024-08-13 23:28:57","shriram","[""ISEAR_LABEL""]","[]","0","1000","1500","BT","0.5123859191655802",,"0.46601458885941643",,,,,"5.0E-4","1.0","default",,,"4.48532556E15","1939.0219254493713","no","no"
"ON-5757","2024-08-13 23:28:52","shriram","[""ISEAR_LABEL""]","[]","0","1000","1000","BT","0.35919165580182527","0.34399867374005305",,,,,,"5.0E-4","1.0","default",,,"1.50784563E15","617.7869160175323","no","no"
"ON-5753","2024-08-13 23:28:35","shriram","[""ISEAR_LABEL""]","[]","0","1000","2500","b1","0.4661016949152542",,,,"0.49088196286472147",,,"5.0E-4","1.0","default",,,"7.00259883E15","2355.1411600112915","no","no"
"ON-5750","2024-08-13 23:28:21","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","BT","0.605606258148631",,,,"0.5852122015915119",,,"5.0E-4","0.5","random",,,"7.48449033E15","2623.8033306598663","yes","no"
"ON-5747","2024-08-13 23:28:08","shriram","[""ISEAR_LABEL""]","[]","1","1000","1500","b1","0.378748370273794",,"0.39290450928381965",,,,,"5.0E-4","1.0","default",,,"2.29245891E15","953.3477759361267","no","no"
"ON-5746","2024-08-13 23:28:03","shriram","[""ISEAR_LABEL""]","[]","1","1000","2500","b1","0.4576271186440678",,,,"0.48458222811671087",,,"5.0E-4","1.0","default",,,"6.52352226E15","2172.2290909290314","no","no"
"ON-5742","2024-08-13 23:27:45","shriram","[""ISEAR_LABEL""]","[]","2","1000","2000","b1","0.4165580182529335",,,"0.4321949602122016",,,,"5.0E-4","1.0","default",,,"5.56423395E15","2067.1509273052216","no","no"
"ON-5740","2024-08-13 23:27:35","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","BT","0.621903520208605",,,,,,"0.5953249336870027","5.0E-4","1.0","default",,,"1.823016135E16","5855.540865659714","no","no"
"ON-5734","2024-08-13 23:27:10","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","BT","0.5860495436766623",,,"0.5860411140583555",,,,"5.0E-4","0.5","random",,,"5.04106437E15","1735.5895915031433","yes","no"
"ON-5732","2024-08-13 23:27:01","shriram","[""ISEAR_LABEL""]","[]","2","1000","1000","BT","0.3683181225554107","0.34515915119363394",,,,,,"5.0E-4","1.0","default",,,"1.6139382E15","557.8438458442688","no","no"
"ON-5731","2024-08-13 23:26:56","shriram","[""ISEAR_LABEL""]","[]","1","1000","2500","BT","0.5919165580182529",,,,"0.5832228116710876",,,"5.0E-4","0.5","random",,,"6.49722087E15","2284.3770303726196","yes","no"
"ON-5728","2024-08-13 11:12:47","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","BT","0.5977835723598436",,,,,,"0.6082559681697612","5.0E-4","1.0","default",,,"9.39608583E15","3796.055546283722","yes","no"
"ON-5727","2024-08-13 11:12:42","shriram","[""ISEAR_LABEL""]","[]","0","1000","1500","b1","0.4132985658409387",,"0.4482758620689655",,,,,"5.0E-4","0.0","default",,,"1.26387964276704E15","509.24652338027954","yes","yes"
"ON-5726","2024-08-13 11:12:36","shriram","[""ISEAR_LABEL""]","[]","1","1000","3000","BT","0.3213820078226858",,,,,"0.6337864721485411",,"5.0E-4","0.0","default",,,"2.63222052E15","1109.1527450084686","yes","no"
"ON-5725","2024-08-13 11:12:31","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","b1","0.32659713168187743","0.32427055702917773",,,,,,"5.0E-4","0.0","default",,,"8.7730293E14","284.39850997924805","yes","no"
"ON-5724","2024-08-13 11:12:26","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","b1","0.32659713168187743","0.32427055702917773",,,,,,"5.0E-4","0.0","default",,,"8.7730363072992E14","295.2332901954651","yes","yes"
"ON-5723","2024-08-13 11:12:21","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","b1","0.36114732724902215",,,,"0.4583885941644562",,,"5.0E-4","0.0","default",,,"1.84957440970128E15","666.69393658638","yes","yes"
"ON-5722","2024-08-13 11:12:15","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.4211212516297262",,,"0.4885610079575597",,,,"5.0E-4","0.0","default",,,"2.37163264090896E15","907.4634115695953","yes","yes"
"ON-5721","2024-08-13 11:12:10","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","b1","0.3559322033898305",,,,"0.45739389920424406",,,"5.0E-4","0.0","default",,,"1.84956306E15","612.7055294513702","yes","no"
"ON-5720","2024-08-13 11:12:02","shriram","[""ISEAR_LABEL""]","[]","1","1000","2500","BT","0.6029986962190352",,,,"0.6004641909814323",,,"5.0E-4","1.0","default",,,"8.42806488E15","2894.123034477234","yes","no"
"ON-5719","2024-08-13 11:11:57","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","b1","0.36114732724902215","0.3640583554376658",,,,,,"5.0E-4","1.0","default",,,"1.56976107E15","507.1450123786926","yes","no"
"ON-5718","2024-08-13 11:11:50","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","b1","0.5651890482398957",,,,,"0.6021220159151194",,"5.0E-4","1.0","default",,,"1.224061899E16","4065.0725824832916","yes","no"
"ON-5717","2024-08-13 11:11:45","shriram","[""ISEAR_LABEL""]","[]","0","1000","1000","b1","0.3155149934810952","0.3171419098143236",,,,,,"5.0E-4","0.5","random",,,"1.31056029E15","463.8721888065338","yes","no"
"ON-5716","2024-08-13 11:11:40","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.44654498044328556",,,"0.5064655172413793",,,,"5.0E-4","0.0","default",,,"2.21934159E15","759.5179355144501","yes","no"
"ON-5715","2024-08-13 11:11:35","shriram","[""ISEAR_LABEL""]","[]","2","1000","1500","b1","0.46479791395045633",,"0.4927055702917772",,,,,"5.0E-4","0.0","default",,,"1.18288569E15","364.8558268547058","yes","no"
"ON-5714","2024-08-13 11:11:29","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","BT","0.41199478487614083","0.41578249336870027",,,,,,"5.0E-4","1.0","default",,,"1.44399099E15","488.87663197517395","yes","no"
"ON-5713","2024-08-13 11:11:24","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.4517601043024772",,,"0.47529840848806365",,,,"5.0E-4","0.5","random",,,"4.04512431E15","1484.5502064228058","yes","no"
"ON-5712","2024-08-13 11:11:18","shriram","[""ISEAR_LABEL""]","[]","2","1000","2000","b1","0.455019556714472",,,"0.46568302387267907",,,,"5.0E-4","0.5","random",,,"4.36034997E15","1435.589352607727","yes","no"
"ON-5711","2024-08-13 11:11:12","shriram","[""ISEAR_LABEL""]","[]","2","1000","1500","BT","0.5169491525423728",,"0.4842506631299735",,,,,"5.0E-4","1.0","default",,,"4.74777951E15","1529.6100387573242","yes","no"
"ON-5710","2024-08-13 11:11:07","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","b1","0.5528031290743155",,,,,,"0.598972148541114","5.0E-4","0.5","random",,,"8.47545516E15","2874.5697169303894","yes","no"
"ON-5709","2024-08-13 11:11:01","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","b1","0.4315514993481095",,,"0.46269893899204245",,,,"5.0E-4","0.0","default",,,"1.61569668E15","522.248612165451","yes","no"
"ON-5708","2024-08-13 11:10:54","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","BT","0.227509778357236",,,,,"0.6356100795755968",,"5.0E-4","0.0","default",,,"2.77827387E15","997.8064546585083","yes","no"
"ON-5707","2024-08-13 11:10:48","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","BT","0.4758800521512386",,,"0.5460875331564987",,,,"5.0E-4","0.0","default",,,"1.4682370124352E15","591.0890345573425","yes","yes"
"ON-5706","2024-08-13 11:10:43","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","BT","0.4406779661016949","0.44346816976127323",,,,,,"5.0E-4","0.0","default",,,"9.4949157E14","320.5428855419159","yes","no"
"ON-5705","2024-08-13 11:10:38","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","BT","0.6003911342894394",,,"0.5697944297082228",,,,"5.0E-4","1.0","default",,,"5.76250008E15","2000.5443975925446","yes","no"
"ON-5704","2024-08-13 11:10:32","shriram","[""ISEAR_LABEL""]","[]","2","1000","1000","BT","0.3833116036505867","0.3746684350132626",,,,,,"5.0E-4","1.0","default",,,"1.6388091E15","536.542765378952","yes","no"
