"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5371","2024-08-12 10:27:22","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1500","b1","0.6088657105606258",,"0.6230106100795756",,,,,"5.0E-4","0.0","default",,,"1.55737138669536E15","583.7893307209015","yes","yes","0.8"
"ON-5367","2024-08-12 10:27:04","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2500","BT","0.5730117340286832",,,,"0.6546750663129973",,,"5.0E-4","0.0","default",,,"1.87967021284656E15","816.9570777416229","yes","yes","0.8"
"ON-5343","2024-08-12 10:25:09","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3500","b1","0.5984354628422425",,,,,,"0.6550066312997348","5.0E-4","0.0","default",,,"2.85614508323136E15","1141.522920370102","yes","yes","0.8"
"ON-5340","2024-08-12 10:24:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1500","b1","0.5782268578878749",,"0.6138925729442971",,,,,"5.0E-4","0.0","default",,,"2.21682566848032E15","796.9962854385376","yes","yes","0.8"
"ON-5333","2024-08-12 10:24:24","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3000","b1","0.5880052151238592",,,,,"0.649867374005305",,"5.0E-4","0.0","default",,,"2.03568682940928E15","806.0730900764465","yes","yes","0.8"
"ON-5319","2024-08-11 12:44:03","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1000","BT","0.5925684485006519","0.616710875331565",,,,,,"5.0E-4","0.0","default",,,"1.0282522366224E15","380.8155024051666","yes","yes","0.6"
"ON-5311","2024-08-11 12:43:17","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2500","BT","0.6127770534550195",,,,"0.6686007957559682",,,"5.0E-4","0.0","default",,,"2.05466206343712E15","877.5481626987457","yes","yes","0.6"
"ON-5305","2024-08-11 12:42:34","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3000","BT","0.6108213820078227",,,,,"0.680868700265252",,"5.0E-4","0.0","default",,,"2.4806504341272E15","1042.9421637058258","yes","yes","0.6"
"ON-5302","2024-08-11 12:42:15","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1500","BT","0.5853976531942634",,"0.6301392572944297",,,,,"5.0E-4","0.0","default",,,"1.4930983907232E15","598.5497417449951","yes","yes","0.6"
"ON-5301","2024-08-11 12:42:05","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3000","BT","0.6082138200782269",,,,,"0.6821949602122016",,"5.0E-4","0.0","default",,,"2.86998449945568E15","1184.0679252147675","yes","yes","0.6"
