"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5148","2024-08-10 23:00:22","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2500","b1","0.6147327249022164",,,,"0.656001326259947",,,"5.0E-4","0.75","random",,,"5.67535338E15","2063.677913427353","yes","no","0.4"
"ON-5147","2024-08-10 23:00:15","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1500","BT","0.5873533246414603",,"0.6352785145888594",,,,,"5.0E-4","0.75","random",,,"2.91479265E15","1036.8419301509857","yes","no","0.4"
"ON-5146","2024-08-10 22:59:47","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3000","b1","0.6166883963494133",,,,,"0.6634615384615384",,"5.0E-4","0.25","random",,,"5.30705145E15","1830.1580996513367","yes","no","0.4"
"ON-5145","2024-08-10 22:59:40","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2500","BT","0.6232073011734028",,,,"0.6737400530503979",,,"5.0E-4","0.75","random",,,"6.97259766E15","2611.9997882843018","yes","no","0.4"
"ON-5144","2024-08-10 22:59:34","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1000","b1","0.5736636245110821","0.5959880636604774",,,,,,"5.0E-4","0.25","random",,,"1.1971617E15","398.7067561149597","yes","no","0.4"
"ON-5143","2024-08-10 22:59:28","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3500","b1","0.6160365058670143",,,,,,"0.6629641909814323","5.0E-4","0.75","random",,,"7.44879441E15","2692.6612951755524","yes","no","0.4"
"ON-5141","2024-08-10 22:59:16","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1500","b1","0.5873533246414603",,"0.6190318302387268",,,,,"5.0E-4","0.25","random",,,"2.28831882E15","813.0290937423706","yes","no","0.4"
"ON-5140","2024-08-10 22:59:09","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","3500","b1","0.6264667535853976",,,,,,"0.666445623342175","5.0E-4","0.5","random",,,"6.83452857E15","2507.5132002830505","yes","no","0.4"
"ON-5139","2024-08-10 22:59:03","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2500","b1","0.6088657105606258",,,,"0.6487068965517241",,,"5.0E-4","0.5","random",,,"3.49071528E15","1490.0390810966492","yes","no","0.4"
"ON-5138","2024-08-10 22:58:57","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2000","b1","0.5932203389830508",,,"0.6279840848806366",,,,"5.0E-4","0.25","random",,,"3.21225396E15","1105.255662202835","yes","no","0.4"
"ON-5137","2024-08-10 22:58:51","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","2000","BT","0.6043024771838331",,,"0.6515251989389921",,,,"5.0E-4","0.5","random",,,"2.95434258E15","1069.6078872680664","yes","no","0.4"
"ON-5136","2024-08-10 22:58:45","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1000","b1","0.560625814863103","0.5925066312997348",,,,,,"5.0E-4","0.5","random",,,"1.06454802E15","380.00433135032654","yes","no","0.4"
"ON-5135","2024-08-10 22:58:10","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3500","BT","0.6153846153846154",,,,,,"0.689157824933687","5.0E-4","0.75","random",,,"9.79837047E15","3915.980149745941","yes","no","0.4"
"ON-5134","2024-08-10 22:57:43","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3000","BT","0.6186440677966102",,,,,"0.6850132625994695",,"5.0E-4","0.25","random",,,"5.98517364E15","2168.3270213603973","yes","no","0.4"
"ON-5133","2024-08-10 22:57:37","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1500","BT","0.6069100391134289",,"0.6412466843501327",,,,,"5.0E-4","0.25","random",,,"2.25109368E15","830.4880745410919","yes","no","0.4"
"ON-5132","2024-08-10 22:57:30","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2000","BT","0.6095176010430248",,,"0.6619694960212201",,,,"5.0E-4","0.75","random",,,"5.358261E15","1882.7718641757965","yes","no","0.4"
