Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5191,10/08/2024 23:12,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,2500,BT,0.609517601,,,,0.673408488,,,5.00E-04,0.5,random,,,6.95E+15,2634.306682,yes,no
ON-5190,10/08/2024 23:12,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3000,b1,0.630378096,,,,,0.657824934,,5.00E-04,0.5,random,,,5.13E+15,1949.145401,yes,no
ON-5189,10/08/2024 23:11,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2500,b1,0.614080834,,,,0.643567639,,,5.00E-04,0.5,random,,,4.34E+15,1667.116559,yes,no
ON-5179,10/08/2024 23:09,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3500,BT,0.636897001,,,,,,0.691644562,5.00E-04,0.5,random,,,1.00E+16,3763.015244,yes,no
ON-5178,10/08/2024 23:09,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,3000,BT,0.618644068,,,,,0.683852785,,5.00E-04,0.5,random,,,7.18E+15,2700.237446,yes,no
ON-5176,10/08/2024 23:08,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3000,b1,0.62125163,,,,,0.669595491,,5.00E-04,0.5,random,,,6.45E+15,2256.172993,yes,no
ON-5174,10/08/2024 23:08,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3500,b1,0.624511082,,,,,,0.666445623,5.00E-04,0.5,random,,,7.34E+15,2623.083298,yes,no
ON-5171,10/08/2024 23:07,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2500,BT,0.617340287,,,,0.675232095,,,5.00E-04,0.5,random,,,6.16E+15,2285.362572,yes,no
ON-5168,10/08/2024 23:06,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3500,BT,0.625162973,,,,,,0.690318302,5.00E-04,0.5,random,,,8.96E+15,3222.249728,yes,no
ON-5161,10/08/2024 23:04,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1000,b1,0.587353325,0.602287798,,,,,,5.00E-04,0.5,random,,,1.53E+15,726.3791895,yes,no
