Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-3375,26/07/2024 06:30,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,3500,b1,0.658,,,,,,0.770922145,5.00E-04,0,default,,,4.30E+15,1335.853456,yes,no
ON-3374,26/07/2024 06:30,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,3500,b1,0.644,,,,,,0.77294144,5.00E-04,1,default,,,8.14E+15,2341.63501,yes,no
ON-3371,26/07/2024 06:30,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",0,1000,2500,b1,0.642,,,,0.74489567,,,5.00E-04,1,default,,,7.44E+15,2329.482522,no,no
ON-3370,26/07/2024 06:30,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",1,1000,1500,b1,0.614,,0.697554409,,,,,5.00E-04,0,default,,,1.63E+15,490.3439457,yes,no
ON-3368,26/07/2024 06:30,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",2,1000,3500,b1,0.666,,,,,,0.765537357,5.00E-04,1,default,,,1.17E+16,3701.177158,no,no
ON-3358,26/07/2024 06:29,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",1,1000,1500,b1,0.606,,0.691496522,,,,,5.00E-04,1,default,,,2.39E+15,688.4126549,yes,no
ON-3349,26/07/2024 06:28,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",1,1000,3500,b1,0.632,,,,,,0.765312991,5.00E-04,0,default,,,3.48E+15,1079.618833,yes,no
ON-3348,26/07/2024 06:28,shriram,"[""OPENBOOK"",""Not_inc_eff""]","[""Not_inc_eff""]",1,1000,3500,b1,0.64,,,,,,0.768229751,5.00E-04,1,default,,,1.24E+16,3706.357406,no,no
ON-3346,26/07/2024 06:28,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",1,1000,2500,b1,0.598,,,,0.720664124,,,5.00E-04,0,default,,,2.98E+15,917.165313,yes,no
ON-3341,26/07/2024 06:28,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",2,1000,2500,b1,0.64,,,,0.732779897,,,5.00E-04,1,default,,,7.97E+15,2373.942908,yes,no
